uid,section,name,first_url,phase_hint,status
126,Зарплата,Все начисления / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1iil5zr2/vhr/hpr/book_list,phase-2-payroll,optional
127,Зарплата,Взаиморасчеты,https://app2.verifix.com/#/!1iil5zr2/anor/mku/offset/offset_list,phase-2-payroll,todo
128,Зарплата,Парные счета,https://app2.verifix.com/#/!1v3kgr0e/anor/mku/coa_twin_list,phase-2-payroll,todo
129,Зарплата,Парные счета / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1v521rge/anor/mku/coa_twin+add,phase-2-payroll,optional
130,Зарплата,Ведомость,https://app2.verifix.com/#/!1iil5zr2/vhr/hpr/payment_list,phase-2-payroll,todo
131,Зарплата,ДОБАВИТЬ АВАНС,https://app2.verifix.com/#/!1vhamj3y/vhr/hpr/payment_advance+add,phase-2-payroll,todo
132,Зарплата,ДОБАВИТЬ АВАНС / Добавить :: Добавить,https://app2.verifix.com/#/!1vhamj3y/vhr/hpr/payment_advance+add,phase-2-payroll,todo
134,Зарплата,Ручные операции,https://app2.verifix.com/#/!1iil5zr2/anor/mku/operation/operation_list,phase-2-payroll,todo
135,Зарплата,Ручные операции / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1vxzyc3i/anor/mku/operation/operation+add,phase-2-payroll,optional
136,Зарплата,Список услуг договора ГПХ,https://app2.verifix.com/#/!1iil5zr2/vhr/hpr/cv_fact_list,phase-2-payroll,todo
137,Зарплата,Начисления процентов от продаж,https://app2.verifix.com/#/!1iil5zr2/vhr/hpr/sales_bonus_payment_list,phase-2-payroll,todo
138,Зарплата,Настройка процентов продаж,https://app2.verifix.com/#/!1we7f4xq/vhr/hrm/job_bonus_type_settings,phase-2-payroll,todo
139,Зарплата,Начисления процентов от продаж / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1wjnw6ke/vhr/hpr/sales_bonus_payment+add,phase-2-payroll,optional
140,Зарплата,Разовые начисления,https://app2.verifix.com/#/!1iil5zr2/vhr/hpr/charge_document_list,phase-2-payroll,todo
141,Зарплата,Начисление,https://app2.verifix.com/#/!1iil5zr2/vhr/hpr/charge_document_list,phase-2-payroll,todo
142,Зарплата,Начисление / Создать :: Создать,https://app2.verifix.com/#/!1wpm88ce/vhr/hpr/charge_document+add?document_kind=A,phase-2-payroll,optional
143,Зарплата,Удержание,https://app2.verifix.com/#/!1iil5zr2/vhr/hpr/charge_document_list,phase-2-payroll,todo
144,Зарплата,Удержание / Создать :: Создать,https://app2.verifix.com/#/!1wsrcla6/vhr/hpr/charge_document+add?document_kind=D,phase-2-payroll,optional
145,Зарплата,Разовые начисления / Создать :: Создать,https://app2.verifix.com/#/!1wxk0apq/vhr/hpr/charge_document+add?document_kind=D,phase-2-payroll,optional
146,Зарплата,Займы,https://app2.verifix.com/#/!1iil5zr2/vhr/hpr/credit_list,phase-2-payroll,todo
147,Зарплата,Займы / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1x8yte4e/vhr/hpr/credit+add,phase-2-payroll,optional
149,Зарплата,Авансовый отчет по командировке,https://app2.verifix.com/#/!1iil5zr2/vhr/hpr/business_trip_cost_list,phase-2-payroll,todo
150,Зарплата,Бонусные начисления,https://app2.verifix.com/#/!1iil5zr2/vhr/hpr/bonus_calculation_list,phase-2-payroll,todo
151,Зарплата,Бонусные начисления / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1iil5zr2/vhr/hpr/bonus_calculation_list,phase-2-payroll,optional
153,Отчетность,Отчет по штатному расписанию,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpr/staffing,phase-3-reporting,todo
154,Отчетность,Отчет по гендерному разделению сотрудников,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/href/employee_by_gender,phase-3-reporting,todo
155,Отчетность,Отчет по движению сотрудников (подразделения),https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpd/division_docflow,phase-3-reporting,todo
156,Отчетность,Отчет увольнений по подразделениям,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpd/dismiss_by_division,phase-3-reporting,todo
157,Отчетность,Отчет по причинам увольнения,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpd/dismissal_reason,phase-3-reporting,todo
158,Отчетность,Отчёт по позициям,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hrm/robot,phase-3-reporting,todo
159,Отчетность,Отчет по изменению разрядов,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpd/rank_changes,phase-3-reporting,todo
160,Отчетность,Отчет по корректировкe табеля,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpd/timebook_adjustment,phase-3-reporting,todo
161,Отчетность,Отчет по движению сотрудников (штаты),https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpd/division_movement,phase-3-reporting,todo
162,Отчетность,Отчет по кандидатам,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/href/candidate,phase-3-reporting,todo
163,Отчетность,Отчет по вакантным позициям,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hrm/vacancy_report,phase-3-reporting,todo
164,Отчетность,Отчет по плану графиков,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hrm/robot_plan,phase-1-attendance,todo
165,Отчетность,Отчет по занятости,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hrm/division_employment,phase-3-reporting,todo
166,Отчетность,Отчет по сотрудникам,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/href/staff,phase-3-reporting,todo
167,Отчетность,Отчет по стажам,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/htm/premium_experience,phase-3-reporting,todo
168,Отчетность,Отчет по разрядам,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hpd/ranks,phase-3-reporting,todo
169,Отчетность,Сотрудники и их родственники,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/href/employee_relatives,phase-3-reporting,todo
170,Отчетность,Отчет по доступам сотрудников,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/href/employees_access_report,phase-3-reporting,todo
171,Отчетность,Отчет по посещениям сотрудников,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/htt/timesheet,phase-1-attendance,todo
172,Отчетность,Создать шаблон,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/htt/timesheet,phase-3-reporting,optional
174,Отчетность,Отчет по посещениям сотрудников / Создать шаблон :: Создать шаблон,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/htt/timesheet,phase-1-attendance,optional
175,Отчетность,Отчет по дисциплине посещений,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/href/employee_attendance_analysis,phase-1-attendance,todo
176,Отчетность,Отчет по режиму работы подразделения (период),https://app2.verifix.com/#/!1iil5zr2/vhr/rep/htt/division_attendance,phase-3-reporting,todo
177,Отчетность,Отчет по режиму работы подразделений,https://app2.verifix.com/#/!1iil5zr2/vhr/rep/hrm/division_timesheet,phase-3-reporting,todo
